盛夏光年time 小鸟医人[doge][doge][doge][doge]

bili_65047976 张三强奸尸体，尸体立即复活，张三被吓死，请问尸体够不够成过失杀人罪，够不够成诈骗罪。

种地的勇者 救死扶伤罪

大试兄 非法行医

小古岛 张三：我把她日活了，怎么还定我的罪呢，家属该给我送锦旗啊

鸣人地方 也就是说尸体和活人都是&#34;人&#34;，只不过是死和活的区别。活人＝尸体＋意识。

漩涡丶丶丶刘能 张三现在连尸体都不放过了[大哭]公屏们，把兄弟打在[热词系列_害怕]上

关注一下我好嘛秋梨膏 白雪公主？？？

Accele_ 生死之交[doge]

雨天日 睡不着。

Monspeet 刚看完上一个视频就发现更了新视频

Bili_473840824 嫌疑人是在渡阳救人~应该无罪释放~着真实见义勇为啊[滑稽]

就是那个啥啥 所以。。。为什么是未遂。。。不是重合了吗。。

没什么名字的 非法行医罪

如果你真的爱我 我觉得应定义为“强奸既遂”，我的想法是，法律应杜绝这种不道德的行为，并防止新型犯罪的产生，如果定义为辱尸既遂，从行为规范上不能很好的约束犯罪者，甚至促使犯罪目标从“尸体”转移到“活人”身上的可能性。如有不同想法，欢迎各位理性探讨，研究。[小电视_赞]

幸运D的yby 还以为是孙笑川

Intrestina 非法行医罪[doge]

-晚灯望屏- 真·爽的  死 去 活 来

最喜欢小女仆 不如死了算了哇，这么舒服的吗！不死了男：[热词系列_知识增加]

核能塵曦淬燚融鈊引擎 炮兵急救术(｀・ω・´)

Mordekasier-S 构成侮辱尸体的既遂[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]，那被害人明明活着却莫名成了法律上的“尸体”感觉好奇怪啊[笑哭]。

爱德华-柯察金 把没死的人送进停尸房，定什么罪

哔站好玩 张三:其实我在救人，当时我看她还有点气息，可是心肺复苏不方便， 于是我就用了针灸的疗法[呆]

满身浮肿的偷牛贼 1播放量2评论，抢楼牛逼嗷[点赞]

泉乄回忆 “白嫖失败，投币继续”?你不会觉得这就算原创视频了吧?在厚大法考罗翔老师的课里也截一段做个互动视频出来这不是谁都能?你要是做个好的原创的关于罗翔老师的剪辑让人投币也行，这是吗？再或者，就算是转载，规范转载给大家普法，这也就算了，你这是啥?把转载视频做成互动视频就能原创，就这还让大家投币?看到你这句话的时候真的给我气笑了

关弹幕看视频 看来我这种讲逻辑的人果然不适合学法律[笑哭]

丶钟灵毓秀 本来要不行了，被爽醒了？

逍遥自在散仙 便宜了这哥们[doge]

好孩啪 根治百病[妙啊][妙啊][doge]

